title,link,cited,relatedLink,position,numOfVersions,publishedData,snippet
Internet,https://dourish.com/~dourishc/classes/readings/MillerSlater-InternetChapter1.pdf,Cited by 3181,"https://scholar.google.com/scholar?q=related:XLHlA4Gw1bgJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",1,All 11 versions,"D Miller, D Slater - 2000 - dourish.com","Why should we do an ethnography of the Internet in Trinidad, or of Trinidad on the Internet? Because–contrary to the first generation of Internet literature–the Internet is not a monolithic or placeless 'cyberspace'; rather, it is numerous new technologies, used by diverse people …"
That 'internet of things' thing,http://www.itrco.jp/libraries/RFIDjournal-That%20Internet%20of%20Things%20Thing.pdf,Cited by 4400,"https://scholar.google.com/scholar?q=related:kMgryxpyxD0J:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",2,All 2 versions,"K Ashton - RFID journal, 2009 - itrco.jp","June 22, 2009—I could be wrong, but I'm fairly sure the phrase"" Internet of Things"" started life as the title of a presentation I made at Procter & Gamble (P&G) in 1999. Linking the new idea of RFID in P&G's supply chain to the then-red-hot topic of the Internet was more than …"
The internet shopper,https://go.gale.com/ps/i.do?id=GALE%7CA60072293&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=00218499&p=AONE&sw=w,Cited by 1620,"https://scholar.google.com/scholar?q=related:7qCXLnDa1fMJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",3,,"N Donthu, A Garcia - Journal of advertising research, 1999 - go.gale.com","Based on a telephone survey, the authors found that Internet shoppers are older and make more money than Internet non-shoppers. Internet shoppers are more convenience seekers, innovative, impulsive, variety seekers, and less risk averse than Internet non-shoppers are …"
Building internet firewalls,https://dl.acm.org/citation.cfm?id=546418,Cited by 753,"https://scholar.google.com/scholar?q=related:3Gh6AmcAqokJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",4,All 5 versions,"DB Chapman, ED Zwicky, D Russell - 1995 - dl.acm.org","More than a million systems are now connected to the Internet, and something like 15 million people in 100 countries on all seven continents use Internet services. More than 100 million email messages are exchanged each day, along with countless files, documents, and audio …"
Internet paradox revisited,https://spssi.onlinelibrary.wiley.com/doi/abs/10.1111/1540-4560.00248,Cited by 3021,"https://scholar.google.com/scholar?q=related:GzXrD7LMgQkJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",5,All 17 versions,"R Kraut, S Kiesler, B Boneva, J Cummings… - Journal of social …, 2002 - Wiley Online Library","Kraut et al.(1998) reported negative effects of using the Internet on social involvement and psychological well‐being among new Internet users in 1995–96. We called the effects a “paradox” because participants used the Internet heavily for communication, which generally …"
Economic growth and income inequality,https://www.jstor.org/stable/1811581,Cited by 15182,"https://scholar.google.com/scholar?q=related:NbQCGAdyA9oJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",1,All 12 versions,"S Kuznets - The American economic review, 1955 - JSTOR",The central theme of this paper is the character and causes of longterm changes in the personal distribution of income. Does inequality in the distribution of income increase or decrease in the course of a country's economic growth? What factors determine the secular …
The quantum internet,https://www.nature.com/articles/nature07127,Cited by 3807,"https://scholar.google.com/scholar?q=related:mtIiIujaqy0J:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",6,All 18 versions,"HJ Kimble - Nature, 2008 - nature.com","Quantum networks provide opportunities and challenges across a range of intellectual and technical frontiers, including quantum computation, communication and metrology. The realization of quantum networks composed of many nodes and channels requires new …"
Internet economics,https://books.google.com/books?hl=en&lr=&id=PQZGJnKH4KwC&oi=fnd&pg=PP13&dq=internet&ots=GlkbI_1ngB&sig=66OlT3qopgYvtbB3mOzOprSkaKk,Cited by 411,"https://scholar.google.com/scholar?q=related:TXBAVKJEclgJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",7,All 5 versions,"LW McKnight, JP Bailey - 1998 - books.google.com","The Internet has rapidly become an important element of the economic system. The lack of accepted metrics for economic analysis of Internet transactions is therefore increasingly problematic. This book, one of the first to bring together research on Internet engineering …"
Internet protocol,http://www.hjp.at/doc/rfc/rfc791.html,Cited by 4343,"https://scholar.google.com/scholar?q=related:yikVUb3E9cgJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",8,All 3 versions,J Postel - 1981 - hjp.at,"Rfc, 0791. Title, Internet Protocol. Author, J. Postel. Date, September 1981. Format: TXT=97779,
HTML=0 bytes. Obsoletes, RFC0760 … Also, STD0005. Status: INTERNET STANDARD. RFC: 791
INTERNET PROTOCOL DARPA INTERNET PROGRAM PROTOCOL SPECIFICATION September …"
Future internet: The internet of things,https://ieeexplore.ieee.org/abstract/document/5579543/,Cited by 984,"https://scholar.google.com/scholar?q=related:Yr_hoLUuHMcJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",9,All 3 versions,"L Tan, N Wang - … conference on advanced computer theory and …, 2010 - ieeexplore.ieee.org","Nowadays, the main communication form on the Internet is human-human. But it is foreseeable that in a near soon that any object will have a unique way of identification and can be addressed so that every object can be connected. The Internet will become to the …"
"Social capital, income inequality, and mortality.",https://ajph.aphapublications.org/doi/abs/10.2105/ajph.87.9.1491,Cited by 4008,"https://scholar.google.com/scholar?q=related:t7OCNxQadTQJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",2,All 18 versions,"I Kawachi, BP Kennedy, K Lochner… - … journal of public …, 1997 - ajph.aphapublications.org","OBJECTIVES: Recent studies have demonstrated that income inequality is related to mortality rates. It was hypothesized, in this study, that income inequality is related to reduction in social cohesion and that disinvestment in social capital is in turn associated with …"
Decomposable income inequality measures,https://www.jstor.org/stable/1914138,Cited by 1467,"https://scholar.google.com/scholar?q=related:tn_e-c78ylcJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",3,All 13 versions,"F Bourguignon - Econometrica: Journal of the Econometric Society, 1979 - JSTOR","A decomposable inequality measure is defined as a measure such that the total inequality of a population can be broken down into a weighted average of the inequality existing within subgroups of the population and the inequality existing between them. Thus, decomposable …"
Standardizing the World Income Inequality Database*,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-6237.2009.00614.x,Cited by 1208,"https://scholar.google.com/scholar?q=related:wNX00fEjV4AJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",4,All 13 versions,"F Solt - Social Science Quarterly, 2009 - Wiley Online Library",Objective. Cross‐national research on the causes and consequences of income inequality has been hindered by the limitations of existing inequality data sets: greater coverage across countries and over time is available from these sources only at the cost of …
Income inequality and happiness,https://journals.sagepub.com/doi/abs/10.1177/0956797611417262,Cited by 594,"https://scholar.google.com/scholar?q=related:0Ec1k_IaTwkJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",5,All 17 versions,"S Oishi, S Kesebir, E Diener - Psychological science, 2011 - journals.sagepub.com","Using General Social Survey data from 1972 to 2008, we found that Americans were on average happier in the years with less national income inequality than in the years with more national income inequality. We further demonstrated that this inverse relation between …"
